College,,AAU,Announce date,Type,State  ^Color denotes 2020 presidential result^,Employees  ^(Vaccination required)^,All students  ^(Vaccination required)^,Only residential students  ^(Vaccination required)^,state_pol
[Columbia College Chicago](https://www.colum.edu/reopening/vaccinations)@@Columbia College Chicago,Columbia College Chicago,,"April 19, 2021",Private,IL,--,✓,--,D
[Columbia University](https://covid19.columbia.edu/news/fall-2021-vaccine-policy-update)@@Columbia University,Columbia University,Y,"April 19, 2021",Private,NY,✓,✓,--,D
[Columbia-Greene Community College](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@Columbia-Greene Community College,Columbia-Greene Community College,,"May 10, 2021",Public,NY,--,✓,--,D
[Community College of Philadelphia](https://www.myccp.online/coronavirus)@@Community College of Philadelphia,Community College of Philadelphia,,"August 19, 2021",Public,PA,✓,✓,--,D
[Connecticut College](https://www.conncoll.edu/campus-life/student-health-services/coronavirus/coronavirus-communications/students/student-vaccination-requirement-may-12-2021/)@@Connecticut College,Connecticut College,,"May 12, 2021",Private,CT,--,✓,--,D
[Cooper Union for the Advancement of Science and Art](https://cooper.edu/about/president/sparks/messages/vaccine-requirements-2021-2022)@@Cooper Union for the Advancement of Science and Art,Cooper Union for the Advancement of Science and Art,,--,Private,NY,✓,✓,--,D
[Coppin State University](https://www.usmd.edu/newsroom/news/2154)@@Coppin State University,Coppin State University,,"April 23, 2021",Public,MD,✓,✓,--,D
[Cornell University](https://news.cornell.edu/stories/2021/04/cornell-releases-plans-fall-return-campus)@@Cornell University,Cornell University,Y,"April 2, 2021",Private,NY,--,✓,--,D
[Cosumnes River College](https://losrios.edu/campus-life/news/los-rios-to-implement-covid-19-vaccine-requirement)@@Cosumnes River College,Cosumnes River College,,"August 3, 2021",Public,CA,✓,✓,--,D
[Creighton University](https://www.creighton.edu/office-president/messages-campus/spring-2021/may-26-2021)@@Creighton University,Creighton University,,"May 26, 2021",Private,NE,--,✓,--,R
[Culinary Institute of America in New York](https://www.ciachef.edu/ny-fall-accepted-students-faqs/)@@Culinary Institute of America in New York,Culinary Institute of America in New York,,--,Private,NY,✓,✓,--,D
[CUNY Bernard M Baruch College](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@CUNY Bernard M Baruch College,CUNY Bernard M Baruch College,,"May 10, 2021",Public,NY,--,✓,--,D
[CUNY Borough of Manhattan Community College](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@CUNY Borough of Manhattan Community College,CUNY Borough of Manhattan Community College,,"May 10, 2021",Public,NY,--,✓,--,D
[CUNY Bronx Community College](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@CUNY Bronx Community College,CUNY Bronx Community College,,"May 10, 2021",Public,NY,--,✓,--,D
[CUNY Brooklyn College](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@CUNY Brooklyn College,CUNY Brooklyn College,,"May 10, 2021",Public,NY,--,✓,--,D
[CUNY City College](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@CUNY City College,CUNY City College,,"May 10, 2021",Public,NY,--,✓,--,D
[CUNY Graduate School and University Center](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@CUNY Graduate School and University Center,CUNY Graduate School and University Center,,"May 10, 2021",Public,NY,--,✓,--,D
[CUNY Hostos Community College](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@CUNY Hostos Community College,CUNY Hostos Community College,,"May 10, 2021",Public,NY,--,✓,--,D
[CUNY Hunter College](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@CUNY Hunter College,CUNY Hunter College,,"May 10, 2021",Public,NY,--,✓,--,D
[CUNY John Jay College of Criminal Justice](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@CUNY John Jay College of Criminal Justice,CUNY John Jay College of Criminal Justice,,"May 10, 2021",Public,NY,--,✓,--,D
[CUNY Kingsborough Community College](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@CUNY Kingsborough Community College,CUNY Kingsborough Community College,,"May 10, 2021",Public,NY,--,✓,--,D
[CUNY LaGuardia Community College](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@CUNY LaGuardia Community College,CUNY LaGuardia Community College,,"May 10, 2021",Public,NY,--,✓,--,D
[CUNY Lehman College](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@CUNY Lehman College,CUNY Lehman College,,"May 10, 2021",Public,NY,--,✓,--,D
[CUNY Medgar Evers College](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@CUNY Medgar Evers College,CUNY Medgar Evers College,,"May 10, 2021",Public,NY,--,✓,--,D
[CUNY New York City College of Technology](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@CUNY New York City College of Technology,CUNY New York City College of Technology,,"May 10, 2021",Public,NY,--,✓,--,D
[CUNY Queens College](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@CUNY Queens College,CUNY Queens College,,"May 10, 2021",Public,NY,--,✓,--,D
[CUNY Queensborough Community College](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@CUNY Queensborough Community College,CUNY Queensborough Community College,,"May 10, 2021",Public,NY,--,✓,--,D
[CUNY School of Law](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@CUNY School of Law,CUNY School of Law,,"May 10, 2021",Public,NY,--,✓,--,D
[CUNY Stella and Charles Guttman Community College](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@CUNY Stella and Charles Guttman Community College,CUNY Stella and Charles Guttman Community College,,"May 10, 2021",Public,NY,--,✓,--,D
[CUNY York College](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@CUNY York College,CUNY York College,,"May 10, 2021",Public,NY,--,✓,--,D
[Curry College](https://www.curry.edu/about-us/community-resources/employment/return-to-campus-communications)@@Curry College,Curry College,,"May 6, 2021",Private,MA,✓,✓,--,D
[Dartmouth College](https://www.thedartmouth.com/article/2021/04/college-will-require-vaccination-to-return-this-fall)@@Dartmouth College,Dartmouth College,Y,"April 14, 2021",Private,NH,✓,✓,--,D
[De Anza College](https://go.boarddocs.com/ca/fhda/Board.nsf/files/C5BVBY800409/$file/Draft_BP%203507%20COVID-19%20Vaccination%20Interim%20Policy_new.pdf)@@De Anza College,De Anza College,,--,Public,CA,✓,✓,--,D
[Dean College](https://www.dean.edu/covid-19/fall-semester-2021/)@@Dean College,Dean College,,--,Private,MA,✓,✓,--,D
[Delaware State University](https://www.desu.edu/student-life/campus-health-services/coronavirus/covid-vaccine-updates)@@Delaware State University,Delaware State University,,--,Public,DE,--,✓,--,D
[Denison University](https://denison.edu/campus/covid19/wh/142559)@@Denison University,Denison University,,"May 24, 2021",Private,OH,--,✓,--,R
[DePaul University](https://resources.depaul.edu/coronavirus/updates/Pages/4-21-student-vaccine-update.aspx)@@DePaul University,DePaul University,,"April 21, 2021",Private,IL,✓,✓,--,D
[DePauw University](https://www.depauw.edu/coronavirus/qa-about-covid-19/#fall2021)@@DePauw University,DePauw University,,"April 26, 2021",Private,IN,--,✓,--,R
[Dickinson College](https://www.dickinson.edu/info/20043/about/4094/dickinson_college_updates_on_spring_2021/23)@@Dickinson College,Dickinson College,,"April 30, 2021",Private,PA,✓,✓,--,D
[DigiPen Institute of Technology](https://www.digipen.edu/about/digipen-covid-19-updates)@@DigiPen Institute of Technology,DigiPen Institute of Technology,,"April 23, 2021",For-profit,WA,✓,✓,--,D
[Doane University](https://www.doane.edu/covid19-tigers-together)@@Doane University,Doane University,,--,Private,NE,--,✓,--,R
[Dominican University](https://www.dom.edu/vaccine-requirement)@@Dominican University,Dominican University,,"May 14, 2021",Private,IL,✓,✓,--,D
[Dominican University of California](https://www.dominican.edu/fall-2021-campus-health-and-safety)@@Dominican University of California,Dominican University of California,,"April 29, 2021",Private,CA,--,✓,--,D
[Drew University](http://www.drew.edu/stories/2021/04/26/drew-university-announces-vaccine-requirement-for-2021-22-academic-year/)@@Drew University,Drew University,,"April 26, 2021",Private,NJ,--,✓,--,D
[Drexel University](https://drexel.edu/coronavirus/health-safety/COVID-19-vaccination/)@@Drexel University,Drexel University,,"April 20, 2021",Private,PA,✓,✓,--,D
[Duke University](https://today.duke.edu/2021/04/student-vaccination-requirements-fall-semester)@@Duke University,Duke University,Y,"April 9, 2021",Private,NC,✓,✓,--,R
[Duquesne University](https://www.duq.edu/news/releases/covid-19-vaccine-will-be-required-for-all-students-at-duquesne-university)@@Duquesne University,Duquesne University,,"June 3, 2021",Private,PA,--,✓,--,D
[Dutchess Community College](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@Dutchess Community College,Dutchess Community College,,"May 10, 2021",Public,NY,--,✓,--,D
[Earlham College](https://earlham.edu/coronavirus/#latest)@@Earlham College,Earlham College,,"May 27, 2021",Private,IN,✓,✓,--,R
[Eastern Connecticut State University](https://www.ct.edu/covid19#faqs)@@Eastern Connecticut State University,Eastern Connecticut State University,,"June 25, 2021",Public,CT,--,✓,--,D
[Eastern Maine Community College](https://www.mccs.me.edu/covid-19/vaccine-protocol/)@@Eastern Maine Community College,Eastern Maine Community College,,"August 12, 2021",Public,ME,--,✓,--,D
[Eastern Mennonite University](https://emu.edu/coronavirus/vaccination)@@Eastern Mennonite University,Eastern Mennonite University,,--,Private,VA,--,✓,--,D
[Eastern Nazarene College](https://enc.edu/covid-19-update/covid-19-vaccination-requirements/)@@Eastern Nazarene College,Eastern Nazarene College,,"June 7, 2021",Private,MA,--,✓,--,D
[Eastern Oregon University](https://www.eou.edu/news-press/eou-will-require-covid-19-vaccinations-for-fall-2021/)@@Eastern Oregon University,Eastern Oregon University,,"June 3, 2021",Public,OR,✓,✓,--,D
[Eastern Washington University](https://inside.ewu.edu/news/featured/ewu-adds-vaccination-requirement/)@@Eastern Washington University,Eastern Washington University,,"June 3, 2021",Public,WA,✓,✓,--,D
[Elmhurst University](https://www.elmhurst.edu/covid-19-updates/vaccine-requirement-faq/)@@Elmhurst University,Elmhurst University,,--,Private,IL,✓,✓,--,D
[Elms College](https://www.elms.edu/elms-safe/letter-from-the-president/)@@Elms College,Elms College,,"May 7, 2021",Private,MA,--,✓,--,D
[Elon University](https://www.elon.edu/u/news/2021/06/17/elon-announces-vaccination-policies-for-2021-2022/)@@Elon University,Elon University,,"June 17, 2021",Private,NC,--,✓,--,R
[Emerson College](https://today.emerson.edu/2021/04/21/update-on-fall-2021-term-planning/)@@Emerson College,Emerson College,,"April 21, 2021",Private,MA,✓,✓,--,D
[Emmanuel College](https://www.emmanuel.edu/forward/announcements/message-from-the-president-concerning-student-vaccinations-for-fall-2021.html)@@Emmanuel College,Emmanuel College,,"May 3, 2021",Private,MA,--,✓,--,D
[Emory University](https://twitter.com/gregfenves/status/1384176713593094144?s=21)@@Emory University,Emory University,Y,"April 19, 2021",Private,GA,✓,✓,--,D
[Endicott College](https://www.endicott.edu/news-events/covid-19-policy-and-procedures)@@Endicott College,Endicott College,,"May 29, 2021",Private,MA,✓,✓,--,D
[Episcopal Theological Seminary of the Southwest](http://ssw.edu/wp-content/uploads/2021/04/Vaccination-Policy_4_20_21.pdf)@@Episcopal Theological Seminary of the Southwest,Episcopal Theological Seminary of the Southwest,,"April 20, 2021",Private,TX,✓,✓,--,R
[Erie Community College](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@Erie Community College,Erie Community College,,"May 10, 2021",Public,NY,--,✓,--,D
[Essex County College](https://www.essex.edu/wp-content/uploads/2021/08/FINAL-Restart-Plan-2.0_.pdf)@@Essex County College,Essex County College,,"August 3, 2021",Public,NJ,✓,✓,--,D
[Evergreen State College](https://www.evergreen.edu/news/post/2021/fall-2021-evergreen-requires-covid-19-vaccine)@@Evergreen State College,Evergreen State College,,"May 6, 2021",Public,WA,✓,✓,--,D
[Fairleigh Dickinson University](https://www.fdu.edu/coronavirus-update/)@@Fairleigh Dickinson University,Fairleigh Dickinson University,,"April 15, 2021",Private,NJ,✓,✓,--,D
[Farmingdale State College](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@Farmingdale State College,Farmingdale State College,,"May 10, 2021",Public,NY,--,✓,--,D
[Fashion Institute of Technology](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@Fashion Institute of Technology,Fashion Institute of Technology,,"May 10, 2021",Public,NY,--,✓,--,D
[Felician University](https://felician.edu/vaccination/)@@Felician University,Felician University,,"July 15, 2021",Private,NJ,✓,✓,--,D
[Finger Lakes Community College](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@Finger Lakes Community College,Finger Lakes Community College,,"May 10, 2021",Public,NY,--,✓,--,D
[Fitchburg State University](https://www.salemstate.edu/news/fall-2021-semester-covid-19-vaccine-requirement-apr-26-2021)@@Fitchburg State University,Fitchburg State University,,"April 26, 2021",Public,MA,--,✓,--,D
Five Towns College,Five Towns College,,"April 28, 2021",For-profit,NY,✓,✓,--,D
[Folsom Lake College](https://losrios.edu/campus-life/news/los-rios-to-implement-covid-19-vaccine-requirement)@@Folsom Lake College,Folsom Lake College,,"August 3, 2021",Public,CA,✓,✓,--,D
[Foothill College](https://go.boarddocs.com/ca/fhda/Board.nsf/files/C5BVBY800409/$file/Draft_BP%203507%20COVID-19%20Vaccination%20Interim%20Policy_new.pdf)@@Foothill College,Foothill College,,--,Public,CA,✓,✓,--,D
[Fordham University](https://bronx.news12.com/fordham-university-to-require-all-students-to-be-vaccinated-by-start-of-fall-semester)@@Fordham University,Fordham University,,"April 16, 2021",Private,NY,✓,✓,--,D
[Fort Lewis College](https://www.fortlewis.edu/life-at-flc/health-safety/coronavirus-covid-19/covid-19-updates/update-details/policy-for-vaccine-requirement)@@Fort Lewis College,Fort Lewis College,,"April 15, 2021",Public,CO,--,✓,--,D
[Framingham State University](https://www.salemstate.edu/news/fall-2021-semester-covid-19-vaccine-requirement-apr-26-2021)@@Framingham State University,Framingham State University,,"April 26, 2021",Public,MA,--,✓,--,D
[Franklin & Marshall College](https://www.fandm.edu/pandemicoperations/health-safety/covid-19-vaccine-information)@@Franklin & Marshall College,Franklin & Marshall College,,"May 18, 2021",Private,PA,--,✓,--,D
[Fresno Pacific University](https://news.fresno.edu/coronavirus-covid-19-news-and-information)@@Fresno Pacific University,Fresno Pacific University,,--,Private,CA,--,--,✓,D
[Frostburg State University](https://www.usmd.edu/newsroom/news/2154)@@Frostburg State University,Frostburg State University,,"April 23, 2021",Public,MD,✓,✓,--,D
[Fulton-Montgomery Community College](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@Fulton-Montgomery Community College,Fulton-Montgomery Community College,,"May 10, 2021",Public,NY,--,✓,--,D
[Furman University](https://www.furman.edu/furman-focused/campus-communications/june-1-2021/)@@Furman University,Furman University,,"June 1, 2021",Private,SC,--,✓,--,R
[Gallaudet University](https://us3.campaign-archive.com/?u=1f4f6deee1b97fac6e5179a64&id=812895101c)@@Gallaudet University,Gallaudet University,,"May 17, 2021",Private,DC,✓,✓,--,D
[Gateway Community College](https://www.ct.edu/covid19#faqs)@@Gateway Community College,Gateway Community College,,"June 25, 2021",Public,CT,--,✓,--,D
[Genesee Community College](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@Genesee Community College,Genesee Community College,,"May 10, 2021",Public,NY,--,✓,--,D
[George Mason University](https://www2.gmu.edu/safe-return-campus/vaccination-policy)@@George Mason University,George Mason University,,--,Public,VA,✓,✓,--,D
[George Washington University](https://coronavirus.gwu.edu/important-covid-19-vaccine-update)@@George Washington University,George Washington University,,"April 19, 2021",Private,DC,✓,✓,--,D
[Georgetown University](https://president.georgetown.edu/vaccine-update-for-students-april-2021)@@Georgetown University,Georgetown University,,"April 14, 2021",Private,DC,✓,✓,--,D
