College,Announce date,Type,State  ^Color denotes 2020 presidential result^,All employees  ^(Vaccination required)^,Some employees<sup>1</sup> ^(Vaccination required)^,All students  ^(Vaccination required)^,Only residential students  ^(Vaccination required)^,state_pol
[Taylor Business Institute](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@Taylor Business Institute,"August 26, 2021",For-profit,IL,✓,--,✓,--,D
[Telshe Yeshiva at Chicago](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@Telshe Yeshiva at Chicago,"August 26, 2021",Private,IL,✓,--,✓,--,D
[Temple University](https://www.temple.edu/coronavirus/vaccines)@@Temple University,--,Public,PA,✓,--,✓,--,D
[Thaddeus Stevens College of Technology](https://stevenscollege.edu/covid-updates/)@@Thaddeus Stevens College of Technology,--,Public,PA,--,--,✓,--,D
[The College of New Jersey](https://president.tcnj.edu/2021/05/07/back-together-again/)@@The College of New Jersey,"May 7, 2021",Public,NJ,✓,--,✓,--,D
[The College of Saint Scholastica](https://www.css.edu/administration/safety-security/saintsriseup-safe-return/)@@The College of Saint Scholastica,--,Private,MN,--,--,✓,--,D
[The College of Wooster](https://wooster.edu/info/guide/?fbclid=IwAR1lTw3q5s9wrmlJdK1GRh2oUUFUS6GYJgxR_EhmcdqmiCcDMYfb8x3NVQE)@@The College of Wooster,--,Private,OH,--,--,✓,--,R
[The Juilliard School](https://www.juilliard.edu/news/149561/may-7-2021-important-covid-updates)@@The Juilliard School,"May 10, 2021",Private,NY,--,--,✓,--,D
[The New England Conservatory of Music](https://necmusic.edu/covid-vaccination-faqs)@@The New England Conservatory of Music,--,Private,MA,--,--,✓,--,D
[The New School](https://blogs.newschool.edu/community-messages/2021/04/26/student-vaccination-requirement-for-fall-2021/)@@The New School,"April 26, 2021",Private,NY,✓,--,✓,--,D
[The University of the Arts](https://www.uarts.edu/about/fall21/university-arts-covid-19-vaccine-policy-faq)@@The University of the Arts,--,Private,PA,✓,--,✓,--,D
[The University of the South](https://new.sewanee.edu/2019-novel-coronavirus-covid-19/vaccination-requirement-aug-26/)@@The University of the South,"August 26, 2021",Private,TN,✓,--,✓,--,R
[Thomas College](https://www.thomas.edu/2021/08/11/important-update-college-covid-vaccination-policy/)@@Thomas College,"August 11, 2021",Private,ME,✓,--,✓,--,D
[Thomas Jefferson University](https://www.jefferson.edu/coronavirus.html#updates)@@Thomas Jefferson University,"April 29, 2021",Private,PA,--,--,✓,--,D
[Three Rivers Community College](https://www.ct.edu/covid19#faqs)@@Three Rivers Community College,"June 25, 2021",Public,CT,--,--,✓,--,D
[Tompkins Cortland Community College](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@Tompkins Cortland Community College,"May 10, 2021",Public,NY,--,--,✓,--,D
[Touro College at Bay Shore](https://www.touro.edu/updates/coronavirus/)@@Touro College at Bay Shore,"August 4, 2021",Private,NY,✓,--,✓,--,D
[Touro College at Kew Gardens Hills](https://www.touro.edu/updates/coronavirus/)@@Touro College at Kew Gardens Hills,"August 4, 2021",Private,NY,✓,--,✓,--,D
[Touro College Law Center](https://www.touro.edu/updates/coronavirus/)@@Touro College Law Center,"August 4, 2021",Private,NY,✓,--,✓,--,D
[Touro College main campus](https://www.touro.edu/updates/coronavirus/)@@Touro College main campus,"August 4, 2021",Private,NY,✓,--,✓,--,D
[Touro College of Dental Medicine](https://www.touro.edu/updates/coronavirus/)@@Touro College of Dental Medicine,"August 4, 2021",Private,NY,✓,--,✓,--,D
[Touro College of Osteopathic Medicine](https://www.touro.edu/updates/coronavirus/)@@Touro College of Osteopathic Medicine,"August 4, 2021",Private,NY,✓,--,✓,--,D
[Touro College-Flatbush](https://www.touro.edu/updates/coronavirus/)@@Touro College-Flatbush,"August 4, 2021",Private,NY,✓,--,✓,--,D
[Touro College-Harlem](https://www.touro.edu/updates/coronavirus/)@@Touro College-Harlem,"August 4, 2021",Private,NY,✓,--,✓,--,D
[Towson University](https://www.usmd.edu/newsroom/news/2154)@@Towson University,"April 23, 2021",Public,MD,✓,--,✓,--,D
[Transylvania University](https://www.transy.edu/1780/2021/08/transylvania-to-require-covid-vaccine-for-students-employees/)@@Transylvania University,"August 25, 2021",Private,KY,✓,--,✓,--,R
[Trinity Christian College](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@Trinity Christian College,"August 26, 2021",Private,IL,✓,--,✓,--,D
[Trinity College](https://www.trincoll.edu/reopening/plans-for-the-fall/)@@Trinity College,"April 28, 2021",Private,CT,--,--,✓,--,D
[Trinity College of Nursing and Health Sciences](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@Trinity College of Nursing and Health Sciences,"August 26, 2021",Private,IL,✓,--,✓,--,D
[Trinity International University in Illinois](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@Trinity International University in Illinois,"August 26, 2021",Private,IL,✓,--,✓,--,D
[Trinity Washington University](https://discover.trinitydc.edu/news/important-covid-19-vaccine-update/)@@Trinity Washington University,"April 20, 2021",Private,DC,✓,--,✓,--,D
[Triton College](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@Triton College,"August 26, 2021",Public,IL,✓,--,✓,--,D
[Truckee Meadows Community College](https://www.unlv.edu/news-story/nevada-state-board-health-approves-covid-19-vaccination-requirement-students)@@Truckee Meadows Community College,"August 20, 2021",Public,NV,✓,--,✓,--,D
[Tufts University](https://coronavirus.tufts.edu/healthy-at-tufts/covid-19-vaccinations-tufts)@@Tufts University,"April 25, 2021",Private,MA,✓,--,✓,--,D
[Tulane University](https://tulane.edu/covid-19/vaccine)@@Tulane University,"May 13, 2021",Private,LA,✓,--,✓,--,R
[Tunxis Community College](https://www.ct.edu/covid19#faqs)@@Tunxis Community College,"June 25, 2021",Public,CT,--,--,✓,--,D
[Tuskegee University](https://myemail.constantcontact.com/OSHA-Emergency-Temporary-Standard-regarding-Vaccinations-for-Employees.html)@@Tuskegee University,"September 22, 2021",Private,AL,--,--,✓,--,R
[Ulster County Community College](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@Ulster County Community College,"May 10, 2021",Public,NY,--,--,✓,--,D
[Union College](https://www.union.edu/news/where-you-are/202105/vaccination-requirement-students-effective-july-1)@@Union College,"May 7, 2021",Private,NY,✓,--,✓,--,D
[Union Presbyterian Seminary](https://www.upsem.edu/newsroom/union-seminary-to-mandate-covid-19-vaccine-for-students-employees-visitors/)@@Union Presbyterian Seminary,"April 16, 2021",Private,VA,✓,--,✓,--,D
[Union Presbyterian Seminary at Charlotte](https://www.upsem.edu/newsroom/union-seminary-to-mandate-covid-19-vaccine-for-students-employees-visitors/)@@Union Presbyterian Seminary at Charlotte,"April 16, 2021",Private,NC,✓,--,✓,--,R
[Unity College](https://unity.edu/press-releases/unity-college-announces-pandemic-lockdown-lift/)@@Unity College,--,Private,ME,--,--,✓,--,D
[University at Buffalo](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@University at Buffalo,"May 10, 2021",Public,NY,--,--,✓,--,D
[University of Akron](https://www.uakron.edu/return-to-campus/)@@University of Akron,--,Public,OH,✓,--,✓,--,R
[University of Alabama](https://healthinfo.ua.edu/news/federal-order-requires-covid-19-vaccination-for-university-employees/)@@University of Alabama,"October 22, 2021",Public,AL,✓,--,--,--,R
[University of Alabama at Birmingham](https://healthinfo.ua.edu/news/federal-order-requires-covid-19-vaccination-for-university-employees/)@@University of Alabama at Birmingham,"October 22, 2021",Public,AL,✓,--,--,--,R
[University of Alabama at Huntsville](https://healthinfo.ua.edu/news/federal-order-requires-covid-19-vaccination-for-university-employees/)@@University of Alabama at Huntsville,"October 22, 2021",Public,AL,✓,--,--,--,R
[University of Alaska at Anchorage](https://www.uaa.alaska.edu/residence-life/apply/immunizations.cshtml)@@University of Alaska at Anchorage,--,Public,AK,--,--,--,✓,R
[University of Arizona](https://www.azcentral.com/story/news/local/arizona-education/2021/10/15/asu-ua-nau-arizona-universities-mandate-covid-19-vaccinations-all-employees/8469609002/)@@University of Arizona,"October 15, 2021",Public,AZ,✓,--,--,--,D
[University of Baltimore](https://www.usmd.edu/newsroom/news/2154)@@University of Baltimore,"April 23, 2021",Public,MD,✓,--,✓,--,D
[University of Bridgeport](https://www.bridgeport.edu/covid-19/faq)@@University of Bridgeport,"July 2, 2021",Private,CT,✓,--,✓,--,D
[University of California at Berkeley](https://www.universityofcalifornia.edu/press-room/uc-encourages-covid-19-vaccinations-university-communities-while-reviewing-policy)@@University of California at Berkeley,"April 22, 2021",Public,CA,✓,--,✓,--,D
[University of California at Davis](https://www.universityofcalifornia.edu/press-room/uc-encourages-covid-19-vaccinations-university-communities-while-reviewing-policy)@@University of California at Davis,"April 22, 2021",Public,CA,✓,--,✓,--,D
[University of California at Irvine](https://www.universityofcalifornia.edu/press-room/uc-encourages-covid-19-vaccinations-university-communities-while-reviewing-policy)@@University of California at Irvine,"April 22, 2021",Public,CA,✓,--,✓,--,D
[University of California at Los Angeles](https://www.universityofcalifornia.edu/press-room/uc-encourages-covid-19-vaccinations-university-communities-while-reviewing-policy)@@University of California at Los Angeles,"April 22, 2021",Public,CA,✓,--,✓,--,D
[University of California at Merced](https://www.universityofcalifornia.edu/press-room/uc-encourages-covid-19-vaccinations-university-communities-while-reviewing-policy)@@University of California at Merced,"April 22, 2021",Public,CA,✓,--,✓,--,D
[University of California at Riverside](https://www.universityofcalifornia.edu/press-room/uc-encourages-covid-19-vaccinations-university-communities-while-reviewing-policy)@@University of California at Riverside,"April 22, 2021",Public,CA,✓,--,✓,--,D
[University of California at San Diego](https://www.universityofcalifornia.edu/press-room/uc-encourages-covid-19-vaccinations-university-communities-while-reviewing-policy)@@University of California at San Diego,"April 22, 2021",Public,CA,✓,--,✓,--,D
[University of California at San Francisco](https://www.universityofcalifornia.edu/press-room/uc-encourages-covid-19-vaccinations-university-communities-while-reviewing-policy)@@University of California at San Francisco,"April 22, 2021",Public,CA,✓,--,✓,--,D
[University of California at Santa Barbara](https://www.universityofcalifornia.edu/press-room/uc-encourages-covid-19-vaccinations-university-communities-while-reviewing-policy)@@University of California at Santa Barbara,"April 22, 2021",Public,CA,✓,--,✓,--,D
[University of California at Santa Cruz](https://www.universityofcalifornia.edu/press-room/uc-encourages-covid-19-vaccinations-university-communities-while-reviewing-policy)@@University of California at Santa Cruz,"April 22, 2021",Public,CA,✓,--,✓,--,D
[University of Charleston](https://www.ucwv.edu/coronavirus-information/)@@University of Charleston,"June 18, 2021",Private,WV,--,--,✓,--,R
[University of Chicago](https://news.uchicago.edu/story/university-announces-covid-19-vaccine-requirement-all-students)@@University of Chicago,"May 18, 2021",Private,IL,✓,--,✓,--,D
[University of Cincinnati](https://www.cincinnati.com/story/news/2021/08/31/university-cincinnati-announces-covid-19-vaccine-mandate/5671338001/)@@University of Cincinnati,"August 31, 2021",Public,OH,✓,--,✓,--,R
[University of Colorado at Boulder](https://president.cu.edu/statements/cu-requires-vaccine-fall-semester-2021)@@University of Colorado at Boulder,"April 28, 2021",Public,CO,✓,--,✓,--,D
[University of Colorado at Colorado Springs](https://president.cu.edu/statements/cu-requires-vaccine-fall-semester-2021)@@University of Colorado at Colorado Springs,"April 28, 2021",Public,CO,✓,--,✓,--,D
[University of Colorado at Denver](https://president.cu.edu/statements/cu-requires-vaccine-fall-semester-2021)@@University of Colorado at Denver,"April 28, 2021",Public,CO,✓,--,✓,--,D
[University of Colorado-Anschutz Medical Campus](https://president.cu.edu/statements/cu-requires-vaccine-fall-semester-2021)@@University of Colorado-Anschutz Medical Campus,"April 28, 2021",Public,CO,✓,--,✓,--,D
[University of Connecticut](https://policy.uconn.edu/2021/06/04/covid-19-immunization-record-requirement-for-students/#)@@University of Connecticut,"June 4, 2021",Public,CT,✓,--,✓,--,D
[University of Connecticut-Avery Point](https://policy.uconn.edu/2021/06/04/covid-19-immunization-record-requirement-for-students/#)@@University of Connecticut-Avery Point,"June 4, 2021",Public,CT,✓,--,✓,--,D
[University of Connecticut-Hartford Campus](https://policy.uconn.edu/2021/06/04/covid-19-immunization-record-requirement-for-students/#)@@University of Connecticut-Hartford Campus,"June 4, 2021",Public,CT,✓,--,✓,--,D
[University of Connecticut-Stamford](https://policy.uconn.edu/2021/06/04/covid-19-immunization-record-requirement-for-students/#)@@University of Connecticut-Stamford,"June 4, 2021",Public,CT,✓,--,✓,--,D
[University of Connecticut-Waterbury Campus](https://policy.uconn.edu/2021/06/04/covid-19-immunization-record-requirement-for-students/#)@@University of Connecticut-Waterbury Campus,"June 4, 2021",Public,CT,✓,--,✓,--,D
[University of Dayton](https://www.whio.com/news/coronavirus/university-dayton-require-covid-19-vaccination-all-staff-student-employees/MIM66333HZCOFFAVPZPFJDPZ44/)@@University of Dayton,"October 18, 2021",Private,OH,✓,--,--,--,R
[University of Delaware](https://www.udel.edu/udaily/2021/may/covid-19-coronavirus-vaccination-requirement-students/)@@University of Delaware,"May 5, 2021",Public,DE,✓,--,✓,--,D
[University of Denver](https://www.du.edu/coronavirus/health-wellness/covid/faqs)@@University of Denver,"April 20, 2021",Private,CO,✓,--,✓,--,D
[University of Detroit Mercy](https://udmercy.edu/about/news/articles/2021/06-10-vaccine.php)@@University of Detroit Mercy,"June 10, 2021",Private,MI,✓,--,✓,--,D
[University of Georgia](https://apps.dar.uga.edu/html-emails/-/gail-email/update-fall-2021-10-27-21)@@University of Georgia,"October 27, 2021",Public,GA,--,✓,--,--,D
[University of Hartford](https://www.hartford.edu/healthy-hawks/vaccine.aspx)@@University of Hartford,--,Private,CT,✓,--,✓,--,D
[University of Hawaii at Hilo](https://www.hawaii.edu/news/2021/05/17/uh-to-require-covid-19-vaccination/)@@University of Hawaii at Hilo,"May 17, 2021",Public,HI,✓,--,✓,--,D
[University of Hawaii at Manoa](https://www.hawaii.edu/news/2021/05/17/uh-to-require-covid-19-vaccination/)@@University of Hawaii at Manoa,"May 17, 2021",Public,HI,✓,--,✓,--,D
[University of Hawaii Maui College](https://www.hawaii.edu/news/2021/05/17/uh-to-require-covid-19-vaccination/)@@University of Hawaii Maui College,"May 17, 2021",Public,HI,✓,--,✓,--,D
[University of Hawaii-West Oahu](https://www.hawaii.edu/news/2021/05/17/uh-to-require-covid-19-vaccination/)@@University of Hawaii-West Oahu,"May 17, 2021",Public,HI,✓,--,✓,--,D
[University of Illinois at Chicago](https://massmail.illinois.edu/massmail/1167605264.html)@@University of Illinois at Chicago,"June 21, 2021",Public,IL,✓,--,✓,--,D
[University of Illinois at Springfield](https://massmail.illinois.edu/massmail/1167605264.html)@@University of Illinois at Springfield,"June 21, 2021",Public,IL,✓,--,✓,--,D
[University of Illinois at Urbana-Champaign](https://massmail.illinois.edu/massmail/1167605264.html)@@University of Illinois at Urbana-Champaign,"June 21, 2021",Public,IL,✓,--,✓,--,D
[University of Indianapolis](https://uindy.edu/coronavirus/president-announcements#president-080521)@@University of Indianapolis,"August 5, 2021",Private,IN,✓,--,✓,--,R
[University of Kansas](https://chancellor.ku.edu/news/2021/oct22)@@University of Kansas,"October 22, 2021",Public,KS,✓,--,--,--,R
[University of La Verne](https://laverne.edu/health/vaccine-information/)@@University of La Verne,--,Private,CA,✓,--,✓,--,D
[University of Louisiana at Lafayette](https://www.klfy.com/health/coronavirus/university-of-louisiana-system-will-require-student-covid-19-vaccinations/)@@University of Louisiana at Lafayette,"August 23, 2021",Public,LA,--,--,✓,--,R
[University of Louisiana at Monroe](https://www.klfy.com/health/coronavirus/university-of-louisiana-system-will-require-student-covid-19-vaccinations/)@@University of Louisiana at Monroe,"August 23, 2021",Public,LA,--,--,✓,--,R
[University of Lynchburg](https://www.lynchburg.edu/about/covid-19/)@@University of Lynchburg,"June 2, 2021",Private,VA,✓,--,✓,--,D
[University of Maine](https://www.maine.edu/together/community-guidance/students/)@@University of Maine,"August 4, 2021",Public,ME,--,--,✓,--,D
[University of Maine at Augusta](https://www.maine.edu/together/community-guidance/students/)@@University of Maine at Augusta,"August 4, 2021",Public,ME,--,--,✓,--,D
[University of Maine at Farmington](https://www.maine.edu/together/community-guidance/students/)@@University of Maine at Farmington,"August 4, 2021",Public,ME,--,--,✓,--,D
[University of Maine at Fort Kent](https://www.maine.edu/together/community-guidance/students/)@@University of Maine at Fort Kent,"August 4, 2021",Public,ME,--,--,✓,--,D
[University of Maine at Machias](https://www.maine.edu/together/community-guidance/students/)@@University of Maine at Machias,"August 4, 2021",Public,ME,--,--,✓,--,D
[University of Maine at Presque Isles](https://www.maine.edu/together/community-guidance/students/)@@University of Maine at Presque Isles,"August 4, 2021",Public,ME,--,--,✓,--,D
[University of Mary Washington](https://www.umw.edu/returntocampus/faq/)@@University of Mary Washington,"May 26, 2021",Public,VA,--,--,✓,--,D
[University of Maryland at Baltimore](https://www.usmd.edu/newsroom/news/2154)@@University of Maryland at Baltimore,"April 23, 2021",Public,MD,✓,--,✓,--,D
[University of Maryland at College Park](https://www.usmd.edu/newsroom/news/2154)@@University of Maryland at College Park,"April 23, 2021",Public,MD,✓,--,✓,--,D
[University of Maryland Center for Environmental Science](https://www.usmd.edu/newsroom/news/2154)@@University of Maryland Center for Environmental Science,"April 23, 2021",Public,MD,✓,--,✓,--,D
[University of Maryland Global Campus](https://www.usmd.edu/newsroom/news/2154)@@University of Maryland Global Campus,"April 23, 2021",Public,MD,✓,--,✓,--,D
[University of Maryland-Baltimore County](https://www.usmd.edu/newsroom/news/2154)@@University of Maryland-Baltimore County,"April 23, 2021",Public,MD,✓,--,✓,--,D
[University of Maryland-Eastern Shore](https://www.usmd.edu/newsroom/news/2154)@@University of Maryland-Eastern Shore,"April 23, 2021",Public,MD,✓,--,✓,--,D
[University of Massachusetts at Amherst](https://www.umass.edu/coronavirus/news/message-chancellor-about-additional-public-health-measures-fall-2021-semester)@@University of Massachusetts at Amherst,"April 22, 2021",Public,MA,✓,--,✓,--,D
[University of Massachusetts at Boston](https://www.umb.edu/news/detail/an_update_on_vaccinations_for_the_umass_boston_community)@@University of Massachusetts at Boston,"April 26, 2021",Public,MA,--,--,✓,--,D
[University of Massachusetts at Dartmouth](https://www.umassd.edu/covid/vaccine/)@@University of Massachusetts at Dartmouth,"April 30, 2021",Public,MA,✓,--,✓,--,D
[University of Massachusetts at Lowell](https://www.uml.edu/alert/coronavirus/returning/fall2021.aspx)@@University of Massachusetts at Lowell,"April 28, 2021",Public,MA,✓,--,✓,--,D
[University of Miami](https://coronavirus.miami.edu/updates-and-messages/index.html)@@University of Miami,"June 1, 2021",Private,FL,✓,--,--,--,R
[University of Michigan at Ann Arbor](https://www.michigandaily.com/administration/u-m-to-require-vaccinations-against-covid-19-for-all-students-living-in-residence-halls-next-fall/)@@University of Michigan at Ann Arbor,"April 23, 2021",Public,MI,✓,--,✓,--,D
[University of Michigan at Dearborn](https://record.umich.edu/articles/u-m-will-require-covid-19-vaccination-on-all-campuses/)@@University of Michigan at Dearborn,"July 30, 2021",Public,MI,✓,--,✓,--,D
[University of Michigan at Flint](https://record.umich.edu/articles/u-m-will-require-covid-19-vaccination-on-all-campuses/)@@University of Michigan at Flint,"July 30, 2021",Public,MI,✓,--,✓,--,D
[University of Minnesota at Crookston](https://safe-campus.umn.edu/return-campus/get-the-vax)@@University of Minnesota at Crookston,--,Public,MN,✓,--,✓,--,D
[University of Minnesota at Duluth](https://safe-campus.umn.edu/return-campus/get-the-vax)@@University of Minnesota at Duluth,--,Public,MN,✓,--,✓,--,D
[University of Minnesota at Morris](https://safe-campus.umn.edu/return-campus/get-the-vax)@@University of Minnesota at Morris,--,Public,MN,✓,--,✓,--,D
[University of Minnesota at Rochester](https://safe-campus.umn.edu/return-campus/get-the-vax)@@University of Minnesota at Rochester,--,Public,MN,✓,--,✓,--,D
[University of Minnesota at Twin Cities](https://safe-campus.umn.edu/return-campus/get-the-vax)@@University of Minnesota at Twin Cities,--,Public,MN,✓,--,✓,--,D
[University of Mississippi](https://mississippitoday.org/2021/10/25/ihl-covid-vaccine-federal-order/)@@University of Mississippi,"October 25, 2021",Public,MS,✓,--,--,--,R
[University of Mississippi Medical Center](https://umc.edu/news/Campus-Memo/2021/08/COVID-19-Vaccination-Now-Condition-Employment-Enrollment.html)@@University of Mississippi Medical Center,"August 20, 2021",Public,MS,✓,--,✓,--,R
[University of Nebraska Medical Center](https://www.unmc.edu/news.cfm?match=27686)@@University of Nebraska Medical Center,"August 12, 2021",Public,NE,✓,--,✓,--,R
[University of Nevada at Las Vegas](https://www.unlv.edu/news-story/nevada-state-board-health-approves-covid-19-vaccination-requirement-students)@@University of Nevada at Las Vegas,"August 20, 2021",Public,NV,✓,--,✓,--,D
[University of Nevada at Reno](https://www.unlv.edu/news-story/nevada-state-board-health-approves-covid-19-vaccination-requirement-students)@@University of Nevada at Reno,"August 20, 2021",Public,NV,✓,--,✓,--,D
[University of New England](https://www.une.edu/news/2021/university-new-england-require-covid-19-vaccines-fall-2021)@@University of New England,"May 5, 2021",Private,ME,✓,--,✓,--,D
[University of New Hampshire](https://www.unh.edu/president/update-federal-government-covid-19-vaccine-requirement)@@University of New Hampshire,"October 22, 2021",Public,NH,✓,--,--,--,D
[University of New Haven](http://newhaven.edu/covid19/index.php)@@University of New Haven,"June 16, 2021",Private,CT,✓,--,✓,--,D
[University of New Mexico at Gallup](https://bringbackthepack.unm.edu/vaccine/vaccine-requirement.html)@@University of New Mexico at Gallup,"August 2, 2021",Public,NM,✓,--,✓,--,D
[University of New Mexico at Los Alamos](https://bringbackthepack.unm.edu/vaccine/vaccine-requirement.html)@@University of New Mexico at Los Alamos,"August 2, 2021",Public,NM,✓,--,✓,--,D
[University of New Mexico at Taos](https://bringbackthepack.unm.edu/vaccine/vaccine-requirement.html)@@University of New Mexico at Taos,"August 2, 2021",Public,NM,✓,--,✓,--,D
[University of New Mexico at Valencia County](https://bringbackthepack.unm.edu/vaccine/vaccine-requirement.html)@@University of New Mexico at Valencia County,"August 2, 2021",Public,NM,✓,--,✓,--,D
[University of New Mexico-Main Campus](https://bringbackthepack.unm.edu/vaccine/vaccine-requirement.html)@@University of New Mexico-Main Campus,"August 2, 2021",Public,NM,✓,--,✓,--,D
[University of New Orleans](https://www.klfy.com/health/coronavirus/university-of-louisiana-system-will-require-student-covid-19-vaccinations/)@@University of New Orleans,"August 23, 2021",Public,LA,--,--,✓,--,R
[University of North Carolina at Chapel Hill](https://carolinatogether.unc.edu/2021/10/25/covid-19-update-federal-vaccine-requirement-for-employees/)@@University of North Carolina at Chapel Hill,"October 25, 2021",Public,NC,--,✓,--,--,R
[University of Northern Colorado](https://www.unco.edu/fall-2021/covid-19-vaccines.aspx)@@University of Northern Colorado,"April 28, 2021",Public,CO,✓,--,✓,--,D
[University of Notre Dame](https://here.nd.edu/health-safety/covid-19-vaccination-information/faculty-and-staff-vaccination-requirement/)@@University of Notre Dame,"April 7, 2021",Private,IN,✓,--,✓,--,R
[University of Oklahoma](https://www.oklahoman.com/story/news/education/2021/10/29/oklahoma-university-vaccine-mandate-ou-osu-employees/6184641001/)@@University of Oklahoma,"October 29, 2021",Public,OK,✓,--,--,--,R
[University of Oregon](https://around.uoregon.edu/content/uo-require-covid-19-vaccinations-students-employees)@@University of Oregon,"May 10, 2021",Public,OR,✓,--,✓,--,D
[University of Pennsylvania](https://penntoday.upenn.edu/announcements/update-penns-plans-fall-semester)@@University of Pennsylvania,"April 22, 2021",Private,PA,✓,--,✓,--,D
[University of Phoenix in Illinois](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@University of Phoenix in Illinois,"August 26, 2021",For-profit,IL,✓,--,✓,--,D
[University of Phoenix in Washington](https://www.governor.wa.gov/sites/default/files/proclamations/proc_20-12.5.pdf)@@University of Phoenix in Washington,"August 20, 2021",For-profit,WA,✓,--,--,--,D
[University of Pittsburgh-Bradford](https://www.post-gazette.com/news/education/2021/11/01/University-of-Pittsburgh-vaccine-mandate-COVID-19-Penn-State-State-System-students/stories/202111010078?utm_medium=Social&utm_source=Twitter#Echobox=1635791975-1)@@University of Pittsburgh-Bradford,"November 1, 2021",Public,PA,✓,--,✓,--,D
[University of Pittsburgh-Greensburg](https://www.post-gazette.com/news/education/2021/11/01/University-of-Pittsburgh-vaccine-mandate-COVID-19-Penn-State-State-System-students/stories/202111010078?utm_medium=Social&utm_source=Twitter#Echobox=1635791975-1)@@University of Pittsburgh-Greensburg,"November 1, 2021",Public,PA,✓,--,✓,--,D
[University of Pittsburgh-Johnstown](https://www.post-gazette.com/news/education/2021/11/01/University-of-Pittsburgh-vaccine-mandate-COVID-19-Penn-State-State-System-students/stories/202111010078?utm_medium=Social&utm_source=Twitter#Echobox=1635791975-1)@@University of Pittsburgh-Johnstown,"November 1, 2021",Public,PA,✓,--,✓,--,D
[University of Pittsburgh-Pittsburgh Campus](https://www.post-gazette.com/news/education/2021/11/01/University-of-Pittsburgh-vaccine-mandate-COVID-19-Penn-State-State-System-students/stories/202111010078?utm_medium=Social&utm_source=Twitter#Echobox=1635791975-1)@@University of Pittsburgh-Pittsburgh Campus,"November 1, 2021",Public,PA,✓,--,✓,--,D
[University of Pittsburgh-Titusville](https://www.post-gazette.com/news/education/2021/11/01/University-of-Pittsburgh-vaccine-mandate-COVID-19-Penn-State-State-System-students/stories/202111010078?utm_medium=Social&utm_source=Twitter#Echobox=1635791975-1)@@University of Pittsburgh-Titusville,"November 1, 2021",Public,PA,✓,--,✓,--,D
[University of Portland](https://www.up.edu/news/2021/04/covid-19-vaccination-requirement-fall-2021-term.html)@@University of Portland,"April 27, 2021",Private,OR,✓,--,✓,--,D
[University of Puget Sound](https://www.pugetsound.edu/about/office-of-the-president/messages-to-campus/student-vaccination-requirement-effective-fall-2021-5-7-21/)@@University of Puget Sound,"May 7, 2021",Private,WA,✓,--,✓,--,D
[University of Redlands](https://www.redlands.edu/globalassets/ucomm/01-covid-19/employees/docs/ur-covid-vaccination-policy-2021-employees-final.pdf)@@University of Redlands,"June 15, 2021",Private,CA,✓,--,✓,--,D
[University of Rhode Island](https://web.uri.edu/healthservices/covid-19-vaccine-information/)@@University of Rhode Island,"May 18, 2021",Public,RI,✓,--,✓,--,D
[University of Richmond](https://www.richmond.edu/coronavirus/messages/index.html#june-10-2021-fall-opening-plans-for-students)@@University of Richmond,"June 10, 2021",Private,VA,✓,--,✓,--,D
[University of Rochester](https://www.rochester.edu/coronavirus-update/university-to-require-covid-19-vaccination-for-students-for-upcoming-academic-year/)@@University of Rochester,"April 22, 2021",Private,NY,✓,--,✓,--,D
[University of Saint Joseph](https://www.instagram.com/p/CTAo_fHFD3D/)@@University of Saint Joseph,"August 25, 2021",Private,CT,✓,--,✓,--,D
[University of Saint Mary of the Lake](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@University of Saint Mary of the Lake,"August 26, 2021",Private,IL,✓,--,✓,--,D
[University of San Diego](https://www.sandiego.edu/onward/documents/emails/2021/mandatory-vaccinations-2021-04-19.html)@@University of San Diego,"April 19, 2021",Private,CA,✓,--,✓,--,D
[University of San Francisco](https://myusf.usfca.edu/usf-together)@@University of San Francisco,"May 24, 2021",Private,CA,✓,--,✓,--,D
[University of Scranton](https://www.scranton.edu/royals-safe-together/assets/documents/vaccine-mandate-for-fall-2021.pdf)@@University of Scranton,"May 19, 2021",Private,PA,✓,--,✓,--,D
[University of Southern California](https://policy.usc.edu/covid-19-vaccination-program/)@@University of Southern California,"April 26, 2021",Private,CA,✓,--,✓,--,D
[University of Southern Maine](https://www.maine.edu/together/community-guidance/students/)@@University of Southern Maine,"August 4, 2021",Public,ME,--,--,✓,--,D
[University of Southern Mississippi](https://mississippitoday.org/2021/10/25/ihl-covid-vaccine-federal-order/)@@University of Southern Mississippi,"October 25, 2021",Public,MS,✓,--,--,--,R
